,Rating,Review,Reviewer Name,Reviewer_Name,Tat_ID,Time
0,5.0,"Reached out last minute for a semi-impromptu tattoo. 

Su was amazing and discussed his worries about the placement and size I was thinking. 

Tattoo itself...",,Lauren F.,K_EujGkKg0Pcv9lyKxVG0A,2019-01-07 21:00:42
1,5.0,"Su is AMAZING!!!!! The art, the price, everything is awesome! I highly recommend this artist for everybody who wants to add artistry on their bodies. can't...",,Epirose B.,K_EujGkKg0Pcv9lyKxVG0A,2019-07-04 15:51:30
2,5.0,"Su tattoed both my friend and me for our matching tattoos. From when we first came in, he was very kind to both of us and made us feel very comfortable. He...",,Evelyn F.,K_EujGkKg0Pcv9lyKxVG0A,2019-04-29 12:26:52
3,5.0,"Reached out last minute for a semi-impromptu tattoo. 

Su was amazing and discussed his worries about the placement and size I was thinking. 

Tattoo itself...",,Lauren F.,K_EujGkKg0Pcv9lyKxVG0A,2019-01-07 21:00:42
4,5.0,"Su is AMAZING!!!!! The art, the price, everything is awesome! I highly recommend this artist for everybody who wants to add artistry on their bodies. can't...",,Epirose B.,K_EujGkKg0Pcv9lyKxVG0A,2019-07-04 15:51:30
5,5.0,"Su tattoed both my friend and me for our matching tattoos. From when we first came in, he was very kind to both of us and made us feel very comfortable. He...",,Evelyn F.,K_EujGkKg0Pcv9lyKxVG0A,2019-04-29 12:26:52
6,5.0,"Reached out last minute for a semi-impromptu tattoo. 

Su was amazing and discussed his worries about the placement and size I was thinking. 

Tattoo itself...",,Lauren F.,K_EujGkKg0Pcv9lyKxVG0A,2019-01-07 21:00:42
7,5.0,"Su is AMAZING!!!!! The art, the price, everything is awesome! I highly recommend this artist for everybody who wants to add artistry on their bodies. can't...",,Epirose B.,K_EujGkKg0Pcv9lyKxVG0A,2019-07-04 15:51:30
8,5.0,"Su tattoed both my friend and me for our matching tattoos. From when we first came in, he was very kind to both of us and made us feel very comfortable. He...",,Evelyn F.,K_EujGkKg0Pcv9lyKxVG0A,2019-04-29 12:26:52
